	Tagalog	Tagalog sentence	English sentence	English
y	Guro	Mabuti ang guro.	The teacher is kind.	teacher
n	Kisame	Mataas ang kisame.	The ceiling is high.	ceiling
y	Ayos	Ayos na ang mesa.	The table is in order now.	order / okay / fixed
n	Bundok	Mataas ang bundok.	The mountain is high.	mountain
y	Tamis	Gusto ko ang tamis ng mangga.	I like the sweetness of the mango.	sweetness
y	Dito	Dito ang libro.	The book is here.	here
y	Tinidor	Nasa mesa ang tinidor.	The fork is on the table.	fork
n	Daan	Mahaba ang daan.	The road is long.	road / way / path
y	Dilaw	Dilaw ang araw sa larawan.	The sun in the picture is yellow.	yellow
y	Hardin	Maraming bulaklak sa hardin.	There are many flowers in the garden.	garden
n	Apoy	Mainit ang apoy.	The fire is hot.	fire
y	Gunting	Matalas ang gunting.	The scissors are sharp.	scissors
n	Bintana	Malaki ang bintana.	The window is big.	window
y	Mabagal	Mabagal ang paglakad niya.	He or she walks slowly.	slow
y	Kamay	Malinis ang kamay ko.	My hand is clean.	hand
n	Tasa	May tsaa sa tasa.	There is tea in the cup.	cup
n	Dahon	Berde ang dahon.	The leaf is green.	leaf
y	Gasolina	Kailangan ng kotse ang gasolina.	A car needs gasoline.	gasoline
n	Sariwa	Sariwa ang isda.	The fish is fresh.	fresh
n	Bubong	Pula ang bubong.	The roof is red.	roof
y	Selpon	Bago ang selpon.	The cellphone is new.	cellphone
y	Sakit ngipin	May sakit ng ngipin siya.	He or she has a toothache.	toothache
y	Ibigay	Ibigay mo ang libro.	Give the book.	give
n	Paminta	May paminta sa ulam.	There is pepper in the dish.	pepper
y	Luto	Luto na ang kanin.	The rice is cooked.	cooked
y	Bus	Malaki ang bus.	The bus is big.	bus
y	Ulam	Masarap ang ulam.	The main dish is delicious.	main dish / food eaten with rice
n	Utak	Nasa ulo ang utak.	The brain is in the head.	brain
n	Kuwaderno	Bago ang kuwaderno.	The notebook is new.	notebook
n	Pasa	May pasa sa braso.	There is a bruise on the arm.	bruise
y	Lapis	Pula ang lapis.	The pencil is red.	pencil
n	Sala	May telebisyon sa sala.	There is a television in the living room.	living room
n	Hina	Ramdam niya ang hina.	He or she feels weakness.	weakness
n	Relo	Nasa mesa ang relo.	The watch is on the table.	watch / clock
n	Walang laman	Walang laman ang baso.	The glass is empty.	empty
y	Umalis	Umalis ang estudyante.	The student left.	left / went away
